defect_id,defect_type,material_grade,product_id,date,dataset
96,1086,Grade 2,15429,2020-12-01,Training
999,1151,Grade KP,3405,2021-01-04,Training
1405,1098,Grade 2,1571,2020-12-15,Training
870,1098,Grade A,3851,2021-01-23,Training
6229,1045,Grade 2,4676,2020-12-02,Test
6082,1078,Grade 2P,8599,2020-12-01,Test
2187,1052,Grade 2,3692,2021-01-08,Training
4783,1060,Grade 1,9580,2021-01-09,Training
2926,1052,Grade 2,11694,2021-01-27,Training
3073,1151,Grade 1,8372,2021-01-06,Training
543,1079,Grade 1,1932,2021-01-18,Training
5003,1019,Grade 2,3753,2021-01-07,Training
4168,1077,Grade 1P,19831,2020-12-31,Training
2920,1045,Grade 2,11694,2021-01-27,Training
1485,1079,Grade 1P,15671,2020-12-13,Training
6297,1084,Grade 1,6078,2020-12-05,Test
3240,1052,Grade 2,15453,2021-01-23,Training
5344,1078,Grade 1P,2252,2021-01-14,Test
3324,1072,Grade 2,1123,2020-12-26,Training
2676,1060,Grade 1,3335,2021-01-26,Training
1564,1099,Grade B1,3727,2021-01-18,Training
3878,1030,Grade 1P,8574,2021-01-07,Training
5282,1052,Grade 1,6078,2020-12-18,Test
1010,1151,Grade KP,3405,2021-01-04,Training
2186,1052,Grade 2,3692,2021-01-08,Training
817,1098,Grade A,7204,2021-01-23,Training
2456,1078,Grade 2P,7408,2020-12-24,Training
6368,1098,Grade A,3851,2021-01-23,Test
3345,1072,Grade 2,1123,2020-12-26,Training
1430,1098,Grade AP,7732,2021-01-23,Training
3179,1078,Grade 1,8888,2020-12-16,Training
1506,1098,Grade AP,6847,2020-12-13,Training
1047,1151,Grade 1P,12805,2021-01-13,Training
3165,1078,Grade 1,8888,2020-12-16,Training
5231,1151,Grade 2,17915,2021-01-11,Test
6420,1151,Grade KP,3405,2021-01-04,Test
4566,1052,Grade 2,3719,2021-01-27,Training
4440,1171,Grade 2P,18070,2021-01-27,Training
4822,1098,Grade 2,13826,2021-01-02,Training
4781,1060,Grade 1,9580,2021-01-09,Training
760,1086,Grade 2,7339,2021-01-23,Training
4130,1077,Grade 1P,9184,2020-12-31,Training
3147,1078,Grade 1,3423,2021-01-18,Training
5319,1060,Grade 1,3335,2021-01-26,Test
3177,1078,Grade 1,8888,2020-12-16,Training
